batch_id,leaf_task_id,content_id,unsupported_reason,position_in_batch
J2-D,W6-PAR-05J2,spell:jallarzi_s_storm_of_radiance,missing_runtime_mechanics,1
J2-D,W6-PAR-05J2,spell:linked_glyphs,missing_runtime_mechanics,2
J2-D,W6-PAR-05J2,spell:maddening_darkness,missing_runtime_mechanics,3
J2-D,W6-PAR-05J2,spell:nystul_s_magic_aura,missing_runtime_mechanics,4
J2-D,W6-PAR-05J2,spell:otiluke_s_resilient_sphere,missing_runtime_mechanics,5
J2-D,W6-PAR-05J2,spell:prismatic_wall,missing_runtime_mechanics,6
J2-D,W6-PAR-05J2,spell:resilient_sphere,missing_runtime_mechanics,7
J2-D,W6-PAR-05J2,spell:shape_water,missing_runtime_mechanics,8
J2-D,W6-PAR-05J2,spell:spellfire_storm,missing_runtime_mechanics,9
J2-D,W6-PAR-05J2,spell:steel_wind_strike,missing_runtime_mechanics,10
J2-E,W6-PAR-05J2,spell:storm_of_vengeance,missing_runtime_mechanics,1
J2-E,W6-PAR-05J2,spell:storm_sphere,missing_runtime_mechanics,2
J2-E,W6-PAR-05J2,spell:teleport,missing_runtime_mechanics,3
J2-E,W6-PAR-05J2,spell:teleportation_circle,missing_runtime_mechanics,4
J2-E,W6-PAR-05J2,spell:tiny_hut,missing_runtime_mechanics,5
J2-E,W6-PAR-05J2,spell:true_strike_divination,missing_runtime_mechanics,6
J2-E,W6-PAR-05J2,spell:vitriolic_sphere,missing_runtime_mechanics,7
J2-E,W6-PAR-05J2,spell:wall_of_fire,missing_runtime_mechanics,8
J2-E,W6-PAR-05J2,spell:wall_of_force,missing_runtime_mechanics,9
J2-E,W6-PAR-05J2,spell:wall_of_ice,missing_runtime_mechanics,10
J2-F,W6-PAR-05J2,spell:wall_of_light,missing_runtime_mechanics,1
J2-F,W6-PAR-05J2,spell:wall_of_sand,missing_runtime_mechanics,2
J2-F,W6-PAR-05J2,spell:wall_of_stone,missing_runtime_mechanics,3
J2-F,W6-PAR-05J2,spell:wall_of_thorns,missing_runtime_mechanics,4
J2-F,W6-PAR-05J2,spell:wall_of_water,missing_runtime_mechanics,5
J2-F,W6-PAR-05J2,spell:warding_wind,missing_runtime_mechanics,6
J2-F,W6-PAR-05J2,spell:water_breathing,missing_runtime_mechanics,7
J2-F,W6-PAR-05J2,spell:watery_sphere,missing_runtime_mechanics,8
J2-F,W6-PAR-05J2,spell:whirlwind,missing_runtime_mechanics,9
J2-F,W6-PAR-05J2,spell:wind_walk,missing_runtime_mechanics,10
G1-A,W6-PAR-05G1,trait:ambush_master,missing_runtime_hook_family,1
G1-A,W6-PAR-05G1,trait:armor_of_hexes,missing_runtime_hook_family,2
G1-A,W6-PAR-05G1,trait:blaze_of_glory,missing_runtime_hook_family,3
G1-A,W6-PAR-05G1,trait:defy_death,missing_runtime_hook_family,4
G1-A,W6-PAR-05G1,trait:elemental_attunement,missing_runtime_hook_family,5
G1-A,W6-PAR-05G1,trait:emboldening_bond,missing_runtime_hook_family,6
G1-A,W6-PAR-05G1,trait:emissary_of_redemption,missing_runtime_hook_family,7
G1-A,W6-PAR-05G1,trait:eventide_s_splendor,missing_runtime_hook_family,8
G1-A,W6-PAR-05G1,trait:favored_by_the_gods,missing_runtime_hook_family,9
G1-A,W6-PAR-05G1,trait:gathered_swarm,missing_runtime_hook_family,10
G1-B,W6-PAR-05G1,trait:genie_s_wrath,missing_runtime_hook_family,1
G1-B,W6-PAR-05G1,trait:giant_s_might,missing_runtime_hook_family,2
G1-B,W6-PAR-05G1,trait:gravity_well,missing_runtime_hook_family,3
G1-B,W6-PAR-05G1,trait:hand_of_harm,missing_runtime_hook_family,4
G1-B,W6-PAR-05G1,trait:hunter_s_rime,missing_runtime_hook_family,5
G1-B,W6-PAR-05G1,trait:hurl_through_hell,missing_runtime_hook_family,6
G1-B,W6-PAR-05G1,trait:infiltrator,missing_runtime_hook_family,7
G1-B,W6-PAR-05G1,trait:instinctive_charm,missing_runtime_hook_family,8
G1-B,W6-PAR-05G1,trait:invincible_conqueror,missing_runtime_hook_family,9
G1-B,W6-PAR-05G1,trait:master_of_hexes,missing_runtime_hook_family,10
G1-C,W6-PAR-05G1,trait:master_transmuter,missing_runtime_hook_family,1
G1-C,W6-PAR-05G1,trait:misty_escape,missing_runtime_hook_family,2
G1-C,W6-PAR-05G1,trait:opportunist,missing_runtime_hook_family,3
G1-C,W6-PAR-05G1,trait:planar_warrior,missing_runtime_hook_family,4
G1-C,W6-PAR-05G1,trait:psychic_blades,missing_runtime_hook_family,5
G1-C,W6-PAR-05G1,trait:relentless_avenger,missing_runtime_hook_family,6
G1-C,W6-PAR-05G1,trait:rend_mind,missing_runtime_hook_family,7
G1-C,W6-PAR-05G1,trait:shadowy_dodge,missing_runtime_hook_family,8
G1-C,W6-PAR-05G1,trait:spreading_spores,missing_runtime_hook_family,9
G1-C,W6-PAR-05G1,trait:stalker_s_flurry,missing_runtime_hook_family,10
G1-D,W6-PAR-05G1,trait:superior_hunter_s_prey,missing_runtime_hook_family,1
G1-D,W6-PAR-05G1,trait:swarming_dispersal,missing_runtime_hook_family,2
G1-D,W6-PAR-05G1,trait:unbreakable_majesty,missing_runtime_hook_family,3
G1-D,W6-PAR-05G1,trait:vengeful_ancestors,missing_runtime_hook_family,4
G1-D,W6-PAR-05G1,trait:violent_attraction,missing_runtime_hook_family,5
G1-D,W6-PAR-05G1,trait:war_god_s_blessing,missing_runtime_hook_family,6
G1-D,W6-PAR-05G1,trait:withdraw_cost_1d6,missing_runtime_hook_family,7
G1-D,W6-PAR-05G1,trait:wrath_of_the_sea,missing_runtime_hook_family,8
